file,reason,word
people/people/frank-fischer.qmd,Forbidden word,"Centre"
people/people/frauke-kreuter.qmd,Unknown word,"kreuter"
people/people/frauke-kreuter.qmd,Unknown word,"frauke"
people/people/gerrit-burkhardt.qmd,Unknown word,"burkhardt"
people/people/gert-woerheide.qmd,Unknown word,"Palaeontology"
people/people/giacomo-de-nicola.qmd,Unknown word,"nicola"
people/people/giacomo-de-nicola.qmd,Unknown word,"giacomo"
people/people/giacomo-de-nicola.qmd,Unknown word,"CODAG"
people/people/gitta-kutyniok.qmd,Unknown word,"kutyniok"
people/people/gitta-kutyniok.qmd,Unknown word,"gitta"
people/people/gitta-kutyniok.qmd,Unknown word,"neuromorphic"
people/people/hans-bernd-brosius.qmd,Unknown word,"brosius"
people/people/inga-koerte.qmd,Unknown word,"koerte"
people/people/inga-koerte.qmd,Unknown word,"inga"
people/people/joerg-renkawitz.qmd,Unknown word,"renkawitz"
people/people/joerg-renkawitz.qmd,Unknown word,"joerg"
people/people/joerg-renkawitz.qmd,Unknown word,"mechanobiology"
people/people/johan-duchene.qmd,Unknown word,"duchene"
people/people/johan-duchene.qmd,Unknown word,"johan"
people/people/johan-duchene.qmd,Unknown word,"IPEK"
people/people/judith-bopp.qmd,Unknown word,"bopp"
people/people/judith-zellner.qmd,Unknown word,"zellner"
people/people/juergen-landes.qmd,Unknown word,"landes"
people/people/juergen-landes.qmd,Unknown word,"juergen"
people/people/juliane-wilcke.qmd,Unknown word,"wilcke"
people/people/juliane-wilcke.qmd,Unknown word,"juliane"
people/people/justin-sulik.qmd,Unknown word,"sulik"
people/people/ksenia-shagal.qmd,Unknown word,"shagal"
people/people/ksenia-shagal.qmd,Unknown word,"ksenia"
people/people/ksenia-shagal.qmd,Unknown word,"Finno"
people/people/larissa-neumann.qmd,Unknown word,"larissa"
people/people/larissa-neumann.qmd,Unknown word,"OMOP"
people/people/laura-meier.qmd,Unknown word,"meier"
people/people/laura-seelkopf.qmd,Unknown word,"seelkopf"
people/people/leyla-larsson.qmd,Unknown word,"larsson"
